FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,SEEING,MAGUNCERT7,MAGUNCERT5
1,59811.38429,,1.295,,5,,6,,7,,21,,25,,30,,35,,30.302,,30.172,,30.029,,29.917,,29.775,,29.851,,29.45,,0.123,,0.131,,0.135,,0.446,,0.501,,0.708,,0.625,,2107.225,,2373.523,,2707.448,,3001.6,,3423.505,,3192.053,,4616.044,,85373.14,,122224.7,,165661.7,,1467809,,2079211,,2992124,,4072833,,6.4556,0.1162215925879772,0.1069174135333561
2,59811.38826,,1.28,,5,,6,,7,,21,,25,,30,,35,,29.841,,29.734,,29.662,,29.06,,28.751,,28.577,,28.366,,0.081,,0.088,,0.097,,0.203,,0.195,,0.219,,0.231,,3205.43,,3538.718,,3781.191,,6578.844,,8748.42,,10269.86,,12470.65,,85768.63,,122198.8,,165466.2,,1458416,,2065754,,2972342,,4044290,,5.7093,0.0853319696811019,0.0712451724242396
3,59811.39248,,1.266,,5,,6,,7,,21,,25,,30,,35,,30.025,,29.891,,29.788,,28.852,,28.767,,28.545,,28.45,,0.077,,0.082,,0.088,,0.135,,0.16,,0.171,,0.2,,2726.928,,3084.733,,3392.343,,8028.138,,8683.429,,10650.64,,11628.51,,85761.35,,122100.3,,166067.0,,1467668,,2076115,,2987629,,4063663,,9.0292,0.0938789715519131,0.0831946129739905
4,59811.39644,,1.253,,5,,6,,7,,21,,25,,30,,35,,30.088,,30.042,,30.082,,29.719,,29.661,,29.294,,29.175,,0.07,,0.08,,0.097,,0.253,,0.307,,0.288,,0.33,,2588.431,,2700.03,,2602.859,,3637.028,,3836.764,,5378.235,,6000.446,,85683.51,,122438.6,,165128.8,,1464971,,2075418,,2988393,,4066022,,4.0204,0.1177219375454708,0.0858704443717228
5,59811.40118,,1.24,,5,,6,,7,,21,,25,,30,,35,,29.75,,29.63,,29.508,,28.796,,28.438,,28.125,,27.865,,0.069,,0.074,,0.078,,0.147,,0.135,,0.133,,0.134,,3544.835,,3959.922,,4427.419,,8535.107,,11866.45,,15834.39,,20120.64,,85924.42,,122240.5,,165738.2,,1456588,,2063354,,2969933,,4040991,,11.9001,0.0751764983199746,0.0657361578503189
6,59811.40538,,1.229,,5,,6,,7,,21,,25,,30,,35,,29.839,,29.734,,29.667,,29.145,,28.942,,28.767,,28.584,,0.062,,0.068,,0.075,,0.168,,0.179,,0.2,,0.216,,3261.885,,3592.494,,3820.766,,6182.655,,7451.652,,8753.486,,10366.12,,86140.79,,123102.3,,165876.0,,1463892,,2074054,,2984607,,4060691,,4.6701,0.0832990301521616,0.069518718736499
7,59811.40934,,1.22,,5,,6,,7,,21,,25,,30,,35,,29.948,,29.937,,29.957,,28.688,,28.644,,28.574,,28.359,,0.065,,0.077,,0.091,,0.103,,0.127,,0.157,,0.164,,2934.755,,2965.715,,2909.671,,9365.684,,9751.566,,10400.3,,12682.15,,85295.23,,121490.0,,164052.3,,1457157,,2061819,,2965450,,4034870,,9.2273,0.1039041394738446,0.0750590781381702
8,59811.41331,,1.212,,5,,6,,7,,21,,25,,30,,35,,30.001,,29.923,,29.873,,29.649,,29.893,,30.08,,29.971,,0.068,,0.075,,0.084,,0.249,,0.399,,0.624,,0.721,,2785.993,,2993.757,,3134.592,,3854.65,,3077.229,,2592.29,,2865.633,,85643.75,,121905.1,,165428.9,,1459374,,2064885,,2971722,,4044665,,5.0516,0.0987279180236936,0.0800188076688744
9,59811.41727,,1.205,,5,,6,,7,,21,,25,,30,,35,,30.002,,29.963,,29.918,,30.523,,30.508,,29.183,,28.483,,0.076,,0.088,,0.099,,0.629,,0.795,,0.309,,0.207,,2785.126,,2887.563,,3009.461,,1723.552,,1747.952,,5917.814,,11283.91,,86714.25,,123945.4,,167098.1,,1478971,,2096163,,3021356,,4114875,,4.7711,0.0975235522254537,0.077955856761545
10,59811.42123,,1.199,,5,,6,,7,,21,,25,,30,,35,,29.825,,29.749,,29.662,,29.171,,28.963,,28.628,,28.331,,0.074,,0.083,,0.09,,0.208,,0.22,,0.213,,0.207,,3273.964,,3513.04,,3804.658,,5982.459,,7244.528,,9860.808,,12965.25,,87770.15,,124562.0,,169016.7,,1487432,,2105446,,3031856,,4126929,,5.1233,0.0836545375348493,0.0695309096251687
