FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,MAGUNCERT7,MAGUNCERT5
1.0,59811.384293,,1.295,,5,,6,,7,,21,,25,,30,,35,,29.88,,29.711,,29.623,,29.13,,29.283,,29.044,,28.692,,0.082,,0.084,,0.091,,0.211,,0.31,,0.327,,0.302,,3107.75,,3629.648,,3936.148,,6197.209,,5382.907,,6708.608,,9278.188,,85902.9,,122156.5,,165703.2,,1456667,,2059610,,2965532,,4037333,,0.0781308759341579,0.0713856730340384
2.0,59811.3882563,,1.28,,5,,6,,7,,21,,25,,30,,35,,29.756,,29.672,,29.591,,29.33,,29.336,,29.148,,29.021,,0.07,,0.078,,0.085,,0.243,,0.313,,0.346,,0.393,,3465.301,,3745.13,,4035.65,,5130.56,,5105.211,,6067.921,,6824.532,,85499.19,,121696.6,,164611.2,,1447757,,2049706,,2949986,,4013479,,0.0781917986841058,0.0649467719759928
3.0,59811.3924768,,1.266,,5,,6,,7,,21,,25,,30,,35,,29.831,,29.691,,29.596,,29.263,,29.345,,29.312,,29.367,,0.064,,0.067,,0.072,,0.193,,0.267,,0.341,,0.458,,3257.827,,3708.852,,4046.047,,5500.495,,5099.726,,5256.805,,4995.446,,85748.35,,122325.4,,165578.2,,1456183,,2060556,,2965251,,4034034,,0.0813422123525912,0.0710257343886231
4.0,59811.3964395,,1.253,,5,,6,,7,,21,,25,,30,,35,,29.851,,29.796,,29.739,,28.829,,28.999,,28.831,,28.531,,0.054,,0.062,,0.068,,0.107,,0.159,,0.18,,0.174,,3219.249,,3386.494,,3572.023,,8252.782,,7058.458,,8243.363,,10858.42,,85714.22,,121694.8,,165165.0,,1458499,,2061313,,2966280,,4037242,,0.0912122881153161,0.071250081890091
5.0,59811.4011787,,1.24,,5,,6,,7,,21,,25,,30,,35,,29.65,,29.606,,29.599,,28.998,,28.96,,28.599,,28.23,,0.061,,0.071,,0.082,,0.172,,0.212,,0.2,,0.182,,3887.302,,4045.793,,4073.155,,7087.591,,7336.939,,10229.12,,14367.35,,85720.32,,121893.8,,164101.2,,1445943,,2046920,,2947063,,4011497,,0.0815281662952714,0.0594576919335838
6.0,59811.4053819,,1.229,,5,,6,,7,,21,,25,,30,,35,,29.883,,29.845,,29.868,,30.227,,30.758,,32.215,,31.044,,0.063,,0.073,,0.087,,0.442,,0.921,,4.64,,2.017,,3133.286,,3245.364,,3177.255,,2281.162,,1399.848,,365.8431,,1075.19,,85460.53,,121934.7,,164131.0,,1450786,,2054790,,2956987,,4024918,,0.0980722675943321,0.0714100722130423
7.0,59811.4093445,,1.22,,5,,6,,7,,21,,25,,30,,35,,29.603,,29.521,,29.435,,29.211,,29.116,,29.014,,28.689,,0.045,,0.05,,0.054,,0.159,,0.186,,0.223,,0.211,,4030.524,,4347.052,,4708.754,,5786.558,,6313.329,,6936.356,,9354.366,,85826.29,,121831.9,,164721.0,,1443273,,2043559,,2940275,,4001699,,0.0675069519030782,0.0560636439665502
8.0,59811.4133061,,1.212,,5,,6,,7,,21,,25,,30,,35,,29.692,,29.636,,29.613,,30.288,,30.804,,32.116,,30.84,,0.049,,0.056,,0.064,,0.428,,0.882,,3.886,,1.534,,3705.397,,3898.987,,3982.924,,2140.351,,1330.367,,397.3722,,1286.996,,85910.5,,121960.3,,164989.8,,1446818,,2047815,,2947441,,4012786,,0.0788685380411546,0.0605894982123025
9.0,59811.4172686,,1.205,,5,,6,,7,,21,,25,,30,,35,,29.686,,29.625,,29.615,,29.674,,30.248,,30.198,,31.314,,0.055,,0.062,,0.072,,0.275,,0.598,,0.751,,2.681,,3724.44,,3941.146,,3978.03,,3764.935,,2218.946,,2324.101,,831.7401,,87122.37,,123734.7,,167386.5,,1469859,,2079266,,2993240,,4072013,,0.0768919465543601,0.0595803567440148
10.0,59811.4212281,,1.199,,5,,6,,7,,21,,25,,30,,35,,29.76,,29.651,,29.578,,29.36,,29.09,,29.003,,28.808,,0.068,,0.074,,0.08,,0.239,,0.239,,0.291,,0.31,,3476.793,,3842.607,,4111.569,,5025.107,,6443.647,,6977.842,,8354.739,,86972.78,,124342.5,,167305.9,,1475334,,2091161,,3008487,,4093424,,0.0756454373312057,0.0644153576247047
11.0,59811.4251908,,1.194,,5,,6,,7,,21,,25,,30,,35,,29.724,,29.582,,29.485,,29.192,,29.083,,28.92,,28.751,,0.058,,0.061,,0.065,,0.18,,0.208,,0.236,,0.258,,3594.952,,4095.159,,4476.595,,5864.172,,6486.27,,7537.326,,8807.09,,88474.83,,125837.6,,170727.7,,1498187,,2120315,,3051253,,4151784,,0.0717927802707023,0.0637336460518755
